Date,International Student Enrolments NSW,International Student Enrolments VIC
2019-Q1,240549,210652
2019-Q2,270968,231146
2019-Q3,333696,283077
2019-Q4,364821,307333
2020-Q1,248610,216682
2020-Q2,274112,235434
2020-Q3,316259,267173
2020-Q4,335833,282721
2021-Q1,209580,178297
2021-Q2,227891,191883
2021-Q3,259496,216281
2021-Q4,272693,227222
2022-Q1,186133,146795
2022-Q2,210880,162313
2022-Q3,262494,199996
2022-Q4,289914,222333
2023-Q1,234547,180802
2023-Q2,270989,206022
2023-Q3,341827,262037
2023-Q4,371903,285900
2024-Q1,280011,222744
2024-Q2,315013,248259
2024-Q3,386216,303713
2024-Q4,415483,327846
