International student enrolments YTD ,,,,,,,,
,nsw,vic,qld,sa,wa,tasmania,act,nt
Jan-15,110244,92239,46572,16583,21347,2487,6358,1151
Feb-15,130932,108739,54024,19700,29367,3782,8814,1246
Mar-15,148394,128772,64462,22803,31572,3987,9098,1521
Apr-15,158995,134084,67292,23656,33149,4033,9336,1583
May-15,165522,137688,70134,23919,34282,4111,9459,1596
Jun-15,171008,142606,73453,24616,35462,4192,9593,1620
Jul-15,199142,165070,85217,27960,42458,4936,11356,1987
Aug-15,208122,172442,88836,28907,44318,5102,11966,2006
Sep-15,217476,177676,92791,29390,45615,5146,12002,2053
Oct-15,228895,185700,97561,31089,48127,5283,12527,2064
Nov-15,239339,194261,101373,31926,49786,5374,12837,2145
Dec-15,241028,195381,102502,32034,50299,5396,12848,2166
Jan-16,123456,104753,50021,17173,23786,2870,7072,1312
Feb-16,154976,135602,65121,23494,33358,4261,9894,1676
Mar-16,166937,144815,68677,24467,34964,4381,10072,1706
Apr-16,178178,151422,72056,25084,36814,4486,10310,1772
May-16,185549,155920,75441,25686,38401,4615,10416,1795
Jun-16,191113,160998,78442,26339,39606,4698,10504,1812
Jul-16,221736,185911,91407,30166,45735,5675,12829,2177
Aug-16,231284,194257,95390,31115,48881,5864,13403,2211
Sep-16,240606,199692,99737,31644,50565,5927,13440,2230
Oct-16,254221,209238,105750,33175,53133,6242,13960,2253
Nov-16,264017,217998,109336,33945,54455,6443,14427,2320
Dec-16,266362,219620,110746,34062,54808,6484,14438,2332
Jan-17,147401,122909,57357,19059,27357,4004,8182,1489
Feb-17,173789,157397,72323,24788,34141,5651,11454,1839
Mar-17,192478,167175,76858,25729,35638,5806,11723,1865
Apr-17,204495,174060,80624,26252,37316,5974,12071,1958
May-17,213298,179944,84776,26940,38862,6159,12165,1981
Jun-17,219307,185286,88388,27568,39924,6295,12265,1994
Jul-17,255612,216940,102600,31792,47007,8122,14951,2379
Aug-17,264463,225055,106424,32664,48483,8282,15666,2410
Sep-17,273653,231037,111012,33277,49747,8340,15730,2431
Oct-17,289277,240909,117444,34733,52019,8619,16347,2482
Nov-17,299731,249856,121462,35563,53132,8831,16879,2537
Dec-17,302928,251891,123120,35687,53550,9003,16927,2551
Jan-18,169089,139872,64415,20415,26694,5285,9746,1601
Feb-18,199121,175926,80491,26420,33268,7029,13629,1933
Mar-18,217907,188106,84818,27326,34467,7260,14006,1956
