Median weekly rent,,,,,,,,
,NSW ($),VIC ($),Qld ($),SA ($),WA ($),TAS ($),NT ($),ACT ($)
Jun-18,490,375,380,320,350,270,450,470
Jul-18,490,380,380,320,350,265,450,470
Aug-18,490,380,380,320,350,270,450,465
Sep-18,490,385,375,320,350,265,450,465
Oct-18,480,380,375,320,350,270,450,470
Nov-18,480,380,375,320,350,270,440,470
Dec-18,480,385,375,320,350,270,440,470
Jan-19,485,385,375,320,350,280,440,480
Feb-19,480,390,380,320,350,280,430,480
Mar-19,480,389,380,325,350,280,430,480
Apr-19,480,385,380,325,350,270,430,480
May-19,480,389,380,325,350,275,425,482
Jun-19,485,390,380,325,350,275,420,485
Jul-19,480,390,380,328,350,275,420,490
Aug-19,480,390,380,325,350,280,420,490
Sep-19,480,390,380,325,350,280,420,490
Oct-19,480,390,380,325,350,295,420,490
Nov-19,480,390,380,325,350,300,420,490
Dec-19,480,390,380,330,350,300,420,495
Jan-20,480,390,385,330,350,300,420,495
Feb-20,480,394,385,330,350,300,420,500
Mar-20,480,394,385,330,350,300,420,500
Apr-20,470,390,380,325,350,300,415,500
May-20,470,390,380,325,350,300,411,500
Jun-20,470,390,380,328,350,300,410,500
Jul-20,470,390,380,330,350,310,410,500
Aug-20,470,390,380,330,350,310,410,500
Sep-20,470,390,380,330,350,310,410,500
Oct-20,470,390,380,330,350,310,415,500
Nov-20,470,390,380,330,350,310,420,500
Dec-20,470,385,380,330,350,310,420,500
Jan-21,470,385,380,330,350,310,420,500
Feb-21,470,385,380,330,360,315,420,500
Mar-21,470,380,380,330,360,320,425,500
Apr-21,470,380,380,330,360,320,430,500
May-21,470,380,385,330,370,320,430,506
Jun-21,470,380,385,335,370,320,440,510
Jul-21,475,383,385,335,375,325,440,500
Aug-21,475,385,390,335,380,330,450,500
Sep-21,480,385,390,340,380,330,450,500
Oct-21,480,385,390,340,380,330,450,500
Nov-21,480,385,390,340,385,330,450,510
Dec-21,480,385,395,340,390,340,460,510
Jan-22,480,390,400,350,395,350,460,515
Feb-22,480,390,400,350,400,350,470,520
Mar-22,485,390,400,350,400,350,480,520
Apr-22,490,390,405,350,400,350,480,525
May-22,490,395,410,350,400,360,480,530
Jun-22,495,399,410,355,410,360,489,530
Jul-22,500,400,415,360,415,370,490,539
Aug-22,500,400,420,360,420,370,495,540
Sep-22,500,400,420,365,420,370,500,550
Oct-22,510,400,430,370,430,375,500,550
Nov-22,515,405,430,370,430,380,500,550
Dec-22,520,410,440,375,440,380,500,550
Jan-23,520,410,440,380,440,390,500,555
Feb-23,530,420,450,380,450,390,500,560
Mar-23,540,420,450,390,450,400,500,560
Apr-23,550,420,455,390,450,400,500,565
May-23,550,425,460,395,460,400,510,565
Jun-23,550,430,465,400,470,400,510,570
Jul-23,560,435,470,400,475,400,520,570
Aug-23,570,440,480,400,480,400,520,570
Sep-23,575,449,480,410,490,400,525,570
Oct-23,580,450,480,415,500,400,530,575
Nov-23,583,450,490,420,500,405,530,578
Dec-23,592,455,490,420,500,410,530,580
Jan-24,600,460,500,425,520,410,538,580
Feb-24,600,465,500,430,520,415,540,580
Mar-24,600,470,500,440,530,415,540,590
Apr-24,610,475,515,450,540,420,540,590
May-24,620,480,520,450,550,420,540,590
Jun-24,620,480,520,450,550,420,545,595
Jul-24,625,490,525,450,560,420,550,595
Aug-24,630,500,525,460,575,420,550,595
Sep-24,640,500,530,465,580,420,550,595
Oct-24,640,500,540,470,590,420,550,595
Nov-24,650,500,540,475,600,425,550,595
Dec-24,650,500,550,480,600,425,550,595
Jan-25,650,510,550,480,600,430,550,595
Feb-25,650,510,550,490,600,430,550,595
Mar-25,650,520,550,490,600,430,552,597
Apr-25,650,520,560,495,613,430,560,595
,,,,,,,,
"Source: Australian Bureau of Statistics, Latest insights into the rental market 28/05/2025",,,,,,,,
